image_id,image_path,true_class,true_label,true_class_name,hard_competitor,hard_competitor_label,hard_competitor_name,original_true_prob,original_competitor_prob,original_margin,original_prediction,correct_original
15,001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,1,0,001.Black_footed_Albatross,2,1,002.Laysan_Albatross,0.99080592,0.0040960535,0.98670987,1,True
32,001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg,1,0,001.Black_footed_Albatross,3,2,003.Sooty_Albatross,0.070975684,0.87052089,-0.79954521,3,False
55,001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,1,0,001.Black_footed_Albatross,86,85,086.Pacific_Loon,0.859626,0.024666145,0.83495985,1,True
72,002.Laysan_Albatross/Laysan_Albatross_0065_809.jpg,2,1,002.Laysan_Albatross,59,58,059.California_Gull,0.99786645,0.00063170661,0.99723475,2,True
113,002.Laysan_Albatross/Laysan_Albatross_0029_482.jpg,2,1,002.Laysan_Albatross,45,44,045.Northern_Fulmar,0.94163913,0.027316261,0.91432286,2,True
115,002.Laysan_Albatross/Laysan_Albatross_0018_492.jpg,2,1,002.Laysan_Albatross,1,0,001.Black_footed_Albatross,0.83082974,0.061613154,0.76921659,2,True
138,003.Sooty_Albatross/Sooty_Albatross_0055_1160.jpg,3,2,003.Sooty_Albatross,45,44,045.Northern_Fulmar,0.84753388,0.020973392,0.82656049,3,True
148,003.Sooty_Albatross/Sooty_Albatross_0017_796349.jpg,3,2,003.Sooty_Albatross,1,0,001.Black_footed_Albatross,0.22185212,0.74328011,-0.52142799,1,False
151,003.Sooty_Albatross/Sooty_Albatross_0075_796352.jpg,3,2,003.Sooty_Albatross,9,8,009.Brewer_Blackbird,0.52757341,0.32756001,0.2000134,3,True
181,004.Groove_billed_Ani/Groove_Billed_Ani_0033_1494.jpg,4,3,004.Groove_billed_Ani,27,26,027.Shiny_Cowbird,0.051649947,0.1891429,-0.13749295,27,False
213,004.Groove_billed_Ani/Groove_Billed_Ani_0047_1706.jpg,4,3,004.Groove_billed_Ani,29,28,029.American_Crow,0.51389313,0.032460973,0.48143215,4,True
225,004.Groove_billed_Ani/Groove_Billed_Ani_0027_1754.jpg,4,3,004.Groove_billed_Ani,54,53,054.Blue_Grosbeak,0.98822719,0.0036683576,0.98455883,4,True
264,005.Crested_Auklet/Crested_Auklet_0033_794964.jpg,5,4,005.Crested_Auklet,7,6,007.Parakeet_Auklet,0.59147483,0.34433138,0.24714345,5,True
269,005.Crested_Auklet/Crested_Auklet_0066_785251.jpg,5,4,005.Crested_Auklet,24,23,024.Red_faced_Cormorant,0.94142151,0.031277027,0.91014448,5,True
275,005.Crested_Auklet/Crested_Auklet_0075_785259.jpg,5,4,005.Crested_Auklet,89,88,089.Hooded_Merganser,0.0034932813,0.61972213,-0.61622885,89,False
290,006.Least_Auklet/Least_Auklet_0026_795066.jpg,6,5,006.Least_Auklet,120,119,120.Fox_Sparrow,0.96401268,0.012841476,0.95117121,6,True
303,006.Least_Auklet/Least_Auklet_0010_795092.jpg,6,5,006.Least_Auklet,7,6,007.Parakeet_Auklet,0.99063748,0.0092194658,0.98141802,6,True
313,006.Least_Auklet/Least_Auklet_0030_795116.jpg,6,5,006.Least_Auklet,7,6,007.Parakeet_Auklet,0.93413615,0.055548999,0.87858715,6,True
345,007.Parakeet_Auklet/Parakeet_Auklet_0047_795956.jpg,7,6,007.Parakeet_Auklet,5,4,005.Crested_Auklet,0.99624974,0.0013946269,0.99485511,7,True
361,007.Parakeet_Auklet/Parakeet_Auklet_0025_795975.jpg,7,6,007.Parakeet_Auklet,6,5,006.Least_Auklet,0.99928313,0.00044558413,0.99883755,7,True
368,007.Parakeet_Auklet/Parakeet_Auklet_0019_795987.jpg,7,6,007.Parakeet_Auklet,6,5,006.Least_Auklet,0.72898358,0.25708771,0.47189587,7,True
388,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0016_2114.jpg,8,7,008.Rhinoceros_Auklet,25,24,025.Pelagic_Cormorant,0.31629568,0.19373657,0.12255912,8,True
409,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0013_797537.jpg,8,7,008.Rhinoceros_Auklet,5,4,005.Crested_Auklet,0.076199077,0.093203329,-0.017004251,5,False
415,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0010_797545.jpg,8,7,008.Rhinoceros_Auklet,58,57,058.Pigeon_Guillemot,0.88425547,0.023718545,0.86053692,8,True
444,009.Brewer_Blackbird/Brewer_Blackbird_0078_2659.jpg,9,8,009.Brewer_Blackbird,27,26,027.Shiny_Cowbird,0.94763982,0.019301325,0.9283385,9,True
